,TR,CC,LR,GRA,band,word_count,sentence_count,paragraph_count,avg_sentence_len,prompt_overlap,intro_prompt_overlap,body_prompt_overlap,conclusion_prompt_overlap,connective_per_sentence,adjacent_sentence_overlap_mean,lexical_density,type_token_ratio,content_repetition_ratio,academic_word_ratio,simple_sva_error_per_100,run_on_sentence_ratio,flesch_kincaid_grade_proxy,trait_spread,trait_mean
TR,1.0,0.9591578408231258,0.9389087580082531,0.9220084278529601,0.9720566279403327,0.22011020438642198,0.06497255712211199,0.17784756158513365,-0.003810475362503346,0.09327433909673895,0.01896529454749069,0.08337197576275679,0.017511316739928846,-0.008312104543763627,-0.12028312282487681,0.12118892675549092,0.06580732374711475,-0.10713518266796514,0.026909136248072948,-0.02537764219092354,-0.03973897815583439,0.06539984703376292,0.026748185256818272,0.9748834087586036
CC,0.9591578408231258,1.0,0.9408153166362865,0.9290689942290772,0.9740470836410737,0.20892397605203988,0.059418844494838606,0.17707140590853157,-0.0060899465307046735,0.0850755070419539,0.020821617644786163,0.07524485754047011,0.02312728775776871,-0.012603986341773192,-0.1177966443712629,0.13465223958840178,0.07174987909996866,-0.1056126847190726,0.02906959840089156,-0.022418628883023504,-0.0449056850193127,0.06664464868432692,-0.021616504044435193,0.9782341900283223
LR,0.9389087580082531,0.9408153166362865,1.0,0.9719089159431957,0.9794979790274843,0.20908902984329827,0.05955655199372865,0.22666355843358207,-0.004851195543345227,0.08224198643625918,0.06103500622481362,0.04070709275989984,0.040785685770545636,-0.01640861137605019,-0.13094427998234257,0.18348647040323046,0.10797142539166296,-0.11681432997610262,0.03620165105830904,-0.02533030081321833,-0.05211086378660828,0.08692440886090674,0.025382784348035314,0.9840923835437653
GRA,0.9220084278529601,0.9290689942290772,0.9719089159431957,1.0,0.9738644344156544,0.1971441988970516,0.05569412308135705,0.24548610000320414,-0.008211341011719778,0.07745284963286336,0.08715286371000415,0.02018372129020373,0.05665185810135186,-0.01996790190750166,-0.13219566012723255,0.20616892546878324,0.12173352076543077,-0.11545172153401657,0.04076772731100259,-0.0218827750308135,-0.05794114412034204,0.09210614415762665,0.042672115593638524,0.9773000215764107
band,0.9720566279403327,0.9740470836410737,0.9794979790274843,0.9738644344156544,1.0,0.21248374595586642,0.060589044113722706,0.20499042278307866,-0.00624045351790339,0.08544303634955455,0.04682741561774466,0.05536496823157234,0.03436428602510432,-0.01493236031299261,-0.13041710137019474,0.1679334787704004,0.09745212436037506,-0.11644593891073458,0.03395424801388846,-0.022969669409158747,-0.04983438158791962,0.08045722012020697,0.03432780293608401,0.9961440928216536
word_count,0.22011020438642198,0.20892397605203988,0.20908902984329827,0.1971441988970516,0.21248374595586642,1.0,0.4877274403724226,-0.004086138618982361,0.11794029686929869,0.0891471205988508,-0.04126525970602495,0.131557113782196,-0.012714444255109009,0.04355047634871544,-0.04227783943049736,-0.037276418717403066,-0.3352597571958431,0.10976222405198224,-0.039498580565253995,0.0023929521257075176,0.15544832843392797,0.10978316855038904,-0.028225548270129536,0.21307546853933504
sentence_count,0.06497255712211199,0.059418844494838606,0.05955655199372865,0.05569412308135705,0.060589044113722706,0.4877274403724226,1.0,-0.04580944415331307,-0.4643590201101729,0.04936692141675211,-0.07973542354884287,0.12367433557706743,-0.0841458312072553,-0.38716356395441887,-0.12854866711730978,0.07124538752180143,-0.16470257860261797,0.11625225928651567,0.0015234910611024485,-0.0024327254949645517,-0.5035296810193165,-0.42881746045134345,0.0017844504250356008,0.061091494121289135
paragraph_count,0.17784756158513365,0.17707140590853157,0.22666355843358207,0.24548610000320414,0.20499042278307866,-0.004086138618982361,-0.04580944415331307,1.0,0.01602830216007256,0.03359683047577865,0.08458517878317245,0.003923453850345832,-0.02853098264118556,-0.025761459802222404,0.10032967909019602,0.09396716688165821,-0.00541733000163981,0.08230338519327113,0.008575995320351321,-0.007007556628961496,-0.0024126920651228873,0.041220929263056295,-0.08747135489873792,0.21181716040413037
avg_sentence_len,-0.003810475362503346,-0.0060899465307046735,-0.004851195543345227,-0.008211341011719778,-0.00624045351790339,0.11794029686929869,-0.4643590201101729,0.01602830216007256,1.0,-0.02339758322093516,0.0625655256512864,-0.09108209057302954,0.03256004285464684,0.7749931090094141,0.07522078331766804,-0.11415736022920187,-0.10613962562002886,0.029930468691087744,-0.04912914797875489,0.004004803296689268,0.6475986403341892,0.9182933205054903,-0.018877265853583253,-0.005926688511010144
prompt_overlap,0.09327433909673895,0.0850755070419539,0.08224198643625918,0.07745284963286336,0.08544303634955455,0.0891471205988508,0.04936692141675211,0.03359683047577865,-0.02339758322093516,1.0,0.4428803790291534,0.8236705696870795,0.3317520935639983,0.031265559314345596,0.09292149844389379,-0.019297918759004162,-0.18242340538896704,0.18461607518071146,0.029078151419417397,0.009411915211441734,-0.0233149310584424,-0.041727338017936155,0.026946199925061656,0.08615571620533087
