feature,anova_f,anova_p,mutual_info_classif,max_group_mean_gap_std_units,lowest_group_mean,highest_group_mean
overall_raw,29020.715592587047,0.0,1.6351529786071786,3.4373234487523776,low_0_4,very_high_8_5_9
trait_mean,28885.05154514304,0.0,1.6345849483296675,3.430516176300224,low_0_4,very_high_8_5_9
trait_std,222.51967756474036,1.7239795844240337e-225,0.12871980135297623,1.103200223062411,very_high_8_5_9,high_7_5_8
avg_paragraph_len,137.63087118404664,1.9157764390761803e-141,0.1269334665087567,1.0691177644524688,very_high_8_5_9,mid_5_5_6
essay_len_original,89.24342035752785,4.424229105056164e-92,0.0767162580929508,0.5905305455431373,low_0_4,high_7_5_8
essay_len,89.24342035752785,4.424229105056164e-92,0.07525269035305149,0.5905305455431373,low_0_4,high_7_5_8
char_count,144.56857896029865,1.956488056745571e-148,0.07428241648433254,0.8115892089646974,low_0_4,high_7_5_8
trait_spread,197.49101464384893,4.798404163096958e-201,0.07376192644829072,1.0895910912560183,very_high_8_5_9,high_7_5_8
unique_word_count,175.4750895279961,2.5925998683785776e-179,0.07242927203962157,0.9204603014757777,low_0_4,high_7_5_8
word_count,91.08189385392895,5.63941091329101e-94,0.0585248095820603,0.6000226414846919,low_0_4,high_7_5_8
prompt_relevance,20.727848423988245,1.1709427323426993e-20,0.05807704907617861,0.27736826623020966,low_0_4,upper_mid_6_5_7
paragraph_count,132.7176732371214,1.7637422857063107e-136,0.05475448441726716,1.081806719475134,mid_5_5_6,very_high_8_5_9
paragraph_len_std,123.54267780817602,3.514355810780293e-127,0.05450260532316831,1.1230323466886705,mid_5_5_6,very_high_8_5_9
readability_score,24.530203047297885,1.2428578497983788e-24,0.04886920383733839,0.3341822259354641,high_7_5_8,low_0_4
lexical_diversity,70.7207494193557,6.512148546917723e-73,0.04830262558389542,0.5686290281160027,lower_mid_4_5_5,high_7_5_8
root_ttr,176.8214998059622,1.1978503168787612e-180,0.04654220480055926,0.9297610456028176,low_0_4,high_7_5_8
paragraph_len_cv,190.33489538556609,5.2640595973387974e-194,0.04604924090580198,1.3802533271261483,mid_5_5_6,very_high_8_5_9
avg_content_word_len,124.63112314380228,2.758306838267909e-128,0.03572977430027935,0.7487991185350644,low_0_4,high_7_5_8
lexical_density,95.33071165259587,2.389573087614291e-98,0.03546658971518157,0.7357172702339025,lower_mid_4_5_5,high_7_5_8
trait_spread_ge_1_0,105.24771009179888,1.5944110996898565e-108,0.03515979438801464,0.9070891410520836,very_high_8_5_9,high_7_5_8
avg_word_len,139.66429443605386,1.7024402070000163e-143,0.03439341995131562,0.8326526872736435,lower_mid_4_5_5,high_7_5_8
has_intro_body_conclusion,183.17827003454096,6.094680942990074e-187,0.03402074659807619,1.24878998683818,mid_5_5_6,very_high_8_5_9
comma_per_sentence,11.406301006569144,5.37136921134347e-11,0.033680389198693206,0.2458830183452259,low_0_4,high_7_5_8
top_content_word_ratio,57.19509238693397,7.874980178570564e-59,0.03099070627238243,0.5597630387717694,high_7_5_8,low_0_4
flesch_reading_ease_proxy,76.69842169190993,4.0955508919270426e-79,0.03067790966224182,0.6073444147117851,high_7_5_8,low_0_4
complex_sentence_ratio,22.907845085756588,6.183809328432392e-23,0.03005867231286663,0.33835245404562675,low_0_4,very_high_8_5_9
type_token_ratio,57.98028369333902,1.193820235668604e-59,0.028667979963254098,0.5703249025605421,lower_mid_4_5_5,high_7_5_8
flesch_kincaid_grade_proxy,19.192115199040654,4.680309781647e-19,0.02763380012867689,0.30773609761623555,low_0_4,high_7_5_8
exemplification_connective_count,47.066127046882116,3.037390775521501e-48,0.02746382319037588,0.49905955029395876,low_0_4,high_7_5_8
