TSNE1,TSNE2,target_band_rounded,target_band_group_pr
-27.579004,6.207338,6.5,upper_mid_6_5_7
9.806519,-32.827034,2.5,low_0_4
16.466124,14.367802,3.5,low_0_4
-12.427543,3.1974664,5.5,mid_5_5_6
-5.988993,6.5767584,6.5,upper_mid_6_5_7
13.674424,-3.5832613,6.0,mid_5_5_6
-19.457546,-28.760798,8.0,high_7_5_8
-7.052556,7.626811,5.5,mid_5_5_6
7.6321454,5.0649214,5.5,mid_5_5_6
10.854881,30.723244,4.0,low_0_4
-30.015821,-8.407152,7.5,high_7_5_8
-4.4283953,9.804075,5.5,mid_5_5_6
29.309187,-13.948447,4.0,low_0_4
-11.830006,-28.850115,7.5,high_7_5_8
19.927511,-25.600477,8.5,very_high_8_5_9
-24.60006,26.849632,6.5,upper_mid_6_5_7
5.803915,-30.713707,4.5,lower_mid_4_5_5
23.665594,-17.870485,3.0,low_0_4
8.005277,19.844746,6.0,mid_5_5_6
-8.434749,11.736116,6.0,mid_5_5_6
-7.898484,-16.458263,7.0,upper_mid_6_5_7
5.318794,11.079852,6.0,mid_5_5_6
8.645606,21.814207,6.0,mid_5_5_6
12.7859955,-17.857813,7.0,upper_mid_6_5_7
-4.2624407,16.225119,4.5,lower_mid_4_5_5
-22.60455,-8.251405,7.5,high_7_5_8
8.973794,-14.084199,7.0,upper_mid_6_5_7
60.11922,-17.07639,9.0,very_high_8_5_9
5.185841,7.7139006,6.5,upper_mid_6_5_7
-2.323962,43.934387,5.0,lower_mid_4_5_5
-27.296783,5.7157545,8.5,very_high_8_5_9
-16.823385,21.268103,6.0,mid_5_5_6
32.750553,-6.1458254,7.5,high_7_5_8
9.384806,-12.009623,7.0,upper_mid_6_5_7
56.08942,-15.723135,9.0,very_high_8_5_9
-33.667366,-0.31916445,7.0,upper_mid_6_5_7
-17.618364,-20.604101,8.5,very_high_8_5_9
-8.649667,0.013904055,5.5,mid_5_5_6
-18.392553,-1.3680022,2.5,low_0_4
-23.2258,-18.676777,6.5,upper_mid_6_5_7
-26.551912,-1.924472,6.0,mid_5_5_6
24.588541,13.9902935,6.5,upper_mid_6_5_7
-26.228945,1.915119,5.5,mid_5_5_6
43.423225,-11.487244,6.0,mid_5_5_6
55.6058,-19.893839,7.0,upper_mid_6_5_7
-10.30675,-12.892872,4.0,low_0_4
-26.923561,22.514378,8.5,very_high_8_5_9
-13.821881,-23.68268,7.0,upper_mid_6_5_7
32.78593,-11.734229,6.0,mid_5_5_6
-6.341839,3.7183237,6.5,upper_mid_6_5_7
0.9736604,-5.2282314,6.0,mid_5_5_6
19.87643,2.2706687,5.5,mid_5_5_6
-10.976248,-1.1389184,2.5,low_0_4
-18.137327,22.52911,4.0,low_0_4
-37.828167,5.6308517,5.0,lower_mid_4_5_5
-14.173847,24.539034,6.5,upper_mid_6_5_7
-13.804223,-24.069273,7.0,upper_mid_6_5_7
19.319191,15.341292,6.0,mid_5_5_6
12.049963,29.05417,3.0,low_0_4
-2.9467223,45.039288,7.0,upper_mid_6_5_7
-2.3406513,-17.059599,5.5,mid_5_5_6
-33.4536,-5.2649884,6.5,upper_mid_6_5_7
-16.871145,-24.085814,7.0,upper_mid_6_5_7
-13.480517,-3.0915275,8.0,high_7_5_8
18.46753,-14.984609,5.5,mid_5_5_6
-17.241072,0.64762205,6.5,upper_mid_6_5_7
37.1133,-20.704113,9.0,very_high_8_5_9
-13.281369,-3.8447747,6.5,upper_mid_6_5_7
28.202116,12.860046,6.5,upper_mid_6_5_7
-29.338058,-6.657651,8.5,very_high_8_5_9
3.7090492,14.3296585,6.0,mid_5_5_6
11.932709,-26.187826,3.5,low_0_4
2.6105554,17.878626,6.5,upper_mid_6_5_7
45.322758,0.34537506,8.0,high_7_5_8
-27.733967,-5.4715967,7.5,high_7_5_8
2.5400655,-21.472725,5.0,lower_mid_4_5_5
39.41294,-6.4219265,6.5,upper_mid_6_5_7
9.57441,-13.126573,6.5,upper_mid_6_5_7
-4.2771587,7.4915967,6.5,upper_mid_6_5_7
10.631517,28.978819,3.5,low_0_4
9.203415,3.9848998,6.0,mid_5_5_6
5.1835318,-5.5216327,4.0,low_0_4
-29.410858,3.2968912,5.5,mid_5_5_6
-4.3140283,27.876217,3.0,low_0_4
-5.8239474,-10.062473,8.0,high_7_5_8
44.810966,-1.2670497,8.0,high_7_5_8
-32.801994,-5.3716183,7.5,high_7_5_8
4.460613,12.611579,7.0,upper_mid_6_5_7
-17.859232,5.6763053,3.0,low_0_4
-25.817574,-11.259244,5.5,mid_5_5_6
-8.947106,11.098422,6.5,upper_mid_6_5_7
23.307022,2.5111358,5.5,mid_5_5_6
-14.995484,-15.283842,7.0,upper_mid_6_5_7
-35.224255,7.1731205,5.5,mid_5_5_6
3.1334639,-23.218956,4.0,low_0_4
-9.467011,9.143871,7.0,upper_mid_6_5_7
-21.672886,18.235376,6.0,mid_5_5_6
5.992318,-17.721365,5.0,lower_mid_4_5_5
8.588033,28.365662,7.0,upper_mid_6_5_7
22.384947,6.8656,7.5,high_7_5_8
4.890919,-14.1586685,5.0,lower_mid_4_5_5
-12.374164,-14.775812,6.0,mid_5_5_6
-10.579039,-37.177174,5.5,mid_5_5_6
12.103188,5.840631,6.5,upper_mid_6_5_7
9.519839,2.7961118,6.0,mid_5_5_6
42.567986,-19.790508,9.0,very_high_8_5_9
-25.565489,21.368168,7.0,upper_mid_6_5_7
-12.277537,-24.738209,6.0,mid_5_5_6
25.9852,27.129013,7.0,upper_mid_6_5_7
-16.231949,-22.859102,6.5,upper_mid_6_5_7
-4.399049,-3.4263387,7.5,high_7_5_8
7.218409,-13.926033,4.0,low_0_4
12.050231,3.1237698,7.0,upper_mid_6_5_7
31.671944,-15.365504,4.0,low_0_4
14.891739,-1.6954058,7.0,upper_mid_6_5_7
-8.217629,-12.156701,6.0,mid_5_5_6
4.637581,3.1227992,6.0,mid_5_5_6
14.081058,2.7807322,7.0,upper_mid_6_5_7
18.277063,0.8328864,6.5,upper_mid_6_5_7
-15.150932,25.996023,8.0,high_7_5_8
