band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc
high_ge7,example,1,2550,2123,0.6400361772686162,0.7687669580946639
high_ge7,children,1,2501,775,0.2336448598130841,0.7539945734097075
high_ge7,conclusion,1,2157,2112,0.6367199276454628,0.6502864033765451
high_ge7,work,1,2143,1034,0.3117274645764245,0.6460657220379862
high_ge7,hand,1,1953,1310,0.39493518239372927,0.5887850467289719
high_ge7,students,1,1848,632,0.19053361471208924,0.55712993668978
high_ge7,instance,1,1756,1651,0.4977389207114863,0.5293940307506784
high_ge7,however,1,1756,1458,0.43955381368706664,0.5293940307506784
high_ge7,education,1,1641,789,0.23786554115164305,0.49472414832680134
high_ge7,individuals,1,1578,1000,0.3014772384684956,0.4757310823032861
high_ge7,well,1,1540,1115,0.33614712089237264,0.46427494724148327
high_ge7,social,1,1539,750,0.2261079288513717,0.46397347000301475
high_ge7,therefore,1,1507,1306,0.3937292734398553,0.4543261983720229
high_ge7,help,1,1485,1005,0.3029846246608381,0.447693699125716
high_ge7,school,1,1431,634,0.19113656918902622,0.43141392824841723
high_ge7,skills,1,1364,705,0.2125414531202894,0.411214953271028
high_ge7,young,1,1364,667,0.2010853180584866,0.411214953271028
high_ge7,make,1,1345,991,0.2987639433222792,0.40548688574012665
high_ge7,public,1,1320,692,0.20862224902019896,0.3979499547784142
high_ge7,better,1,1317,915,0.2758516731986735,0.3970455230630087
high_ge7,reasons,1,1314,1002,0.30208019294543265,0.3961410913476033
high_ge7,money,1,1302,701,0.21133554416641542,0.3925233644859813
high_ge7,government,1,1263,671,0.20229122701236057,0.38076575218570996
high_ge7,countries,1,1222,681,0.20530599939704552,0.36840518540850165
high_ge7,like,1,1190,867,0.2613807657521857,0.3587579137775098
high_ge7,future,1,1186,777,0.23424781429002112,0.3575520048236358
high_ge7,become,1,1179,871,0.2625866747060597,0.35544166415435635
high_ge7,others,1,1168,940,0.2833886041603859,0.3521254145312029
high_ge7,job,1,1163,580,0.17485679831172746,0.3506180283388604
high_ge7,human,1,1132,564,0.17003316249623154,0.34127223394633704
high_ge7,health,1,1119,593,0.1787760024118179,0.3373530298462466
high_ge7,information,1,1111,550,0.1658124811576726,0.33494121193849863
high_ge7,due,1,1104,897,0.27042508290624057,0.3328308712692192
high_ge7,important,1,1100,811,0.24449804039794995,0.3316249623153452
high_ge7,new,1,1090,668,0.20138679529695508,0.3286101899306602
high_ge7,use,1,1078,721,0.21736508893578535,0.3249924630690383
high_ge7,need,1,1077,806,0.24299065420560748,0.32469098583056977
high_ge7,parents,1,1075,443,0.13355441664154355,0.3240880313536328
high_ge7,result,1,1048,930,0.2803738317757009,0.31594814591498344
high_ge7,take,1,1046,816,0.24600542659029243,0.3153451914380464
high_ge7,development,1,1037,729,0.21977690684353332,0.31263189629182997
high_ge7,technology,1,1023,520,0.15676816400361773,0.308411214953271
high_ge7,number,1,1018,774,0.23334338257461562,0.30690382876092853
high_ge7,moreover,1,1002,961,0.2897196261682243,0.30208019294543265
high_ge7,benefits,1,1000,779,0.2348507687669581,0.3014772384684956
high_ge7,even,1,998,804,0.2423876997286705,0.30087428399155863
high_ge7,get,1,985,671,0.20229122701236057,0.2969550798914682
high_ge7,jobs,1,974,459,0.1383780524570395,0.2936388302683147
high_ge7,good,1,964,680,0.20500452215857703,0.29062405788362977
high_ge7,knowledge,1,963,651,0.19626168224299065,0.2903225806451613
