band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc
mid_5_5_to_6_5,plays vital role,3,61,60,0.014977533699450823,0.015227159261108337
mid_5_5_to_6_5,artificially intelligent robots,3,55,36,0.008986520219670495,0.013729405891163254
mid_5_5_to_6_5,play important role,3,53,51,0.0127309036445332,0.013230154767848227
mid_5_5_to_6_5,history house building,3,52,39,0.009735396904643036,0.012980529206190713
mid_5_5_to_6_5,studying university college,3,51,37,0.009236145781328009,0.0127309036445332
mid_5_5_to_6_5,single sex schools,3,50,23,0.005741387918122816,0.012481278082875686
mid_5_5_to_6_5,plays important role,3,46,46,0.011482775836245632,0.011482775836245632
mid_5_5_to_6_5,conclusion even though,3,44,44,0.010983524712930605,0.010983524712930605
mid_5_5_to_6_5,unpaid community work,3,43,25,0.006240639041437843,0.010733899151273091
mid_5_5_to_6_5,playing video games,3,42,34,0.008487269096355467,0.010484273589615577
mid_5_5_to_6_5,play vital role,3,40,40,0.00998502246630055,0.00998502246630055
mid_5_5_to_6_5,job straight school,3,40,30,0.0074887668497254116,0.00998502246630055
mid_5_5_to_6_5,playing computer games,3,40,17,0.004243634548177734,0.00998502246630055
mid_5_5_to_6_5,use social media,3,38,26,0.006490264603095357,0.009485771342985522
mid_5_5_to_6_5,use public transport,3,38,32,0.00798801797304044,0.009485771342985522
mid_5_5_to_6_5,without shadow doubt,3,37,37,0.009236145781328009,0.009236145781328009
mid_5_5_to_6_5,high school students,3,35,28,0.006989515726410384,0.008736894658012981
mid_5_5_to_6_5,house building live,3,35,32,0.00798801797304044,0.008736894658012981
mid_5_5_to_6_5,social media platforms,3,33,29,0.007239141288067898,0.008237643534697954
mid_5_5_to_6_5,using social media,3,31,25,0.006240639041437843,0.007738392411382925
mid_5_5_to_6_5,increasing cost fuel,3,29,21,0.005242136794807789,0.007239141288067898
mid_5_5_to_6_5,live climate change,3,29,25,0.006240639041437843,0.007239141288067898
mid_5_5_to_6_5,jobs require human,3,29,16,0.00399400898652022,0.007239141288067898
mid_5_5_to_6_5,face face interaction,3,28,23,0.005741387918122816,0.006989515726410384
mid_5_5_to_6_5,play crucial role,3,28,28,0.006989515726410384,0.006989515726410384
mid_5_5_to_6_5,history houses buildings,3,28,26,0.006490264603095357,0.006989515726410384
mid_5_5_to_6_5,graduating high school,3,27,25,0.006240639041437843,0.00673989016475287
mid_5_5_to_6_5,prevent climate change,3,27,21,0.005242136794807789,0.00673989016475287
mid_5_5_to_6_5,children later age,3,26,19,0.004742885671492761,0.006490264603095357
mid_5_5_to_6_5,getting job straight,3,26,25,0.006240639041437843,0.006490264603095357
mid_5_5_to_6_5,huge amount money,3,25,23,0.005741387918122816,0.006240639041437843
mid_5_5_to_6_5,gap rich poor,3,25,15,0.0037443834248627058,0.006240639041437843
mid_5_5_to_6_5,production consumer goods,3,24,19,0.004742885671492761,0.005991013479780329
mid_5_5_to_6_5,perspectives heating debate,3,24,24,0.005991013479780329,0.005991013479780329
mid_5_5_to_6_5,team sports school,3,23,14,0.003494757863205192,0.005741387918122816
mid_5_5_to_6_5,instance survey conducted,3,22,22,0.0054917623564653024,0.0054917623564653024
mid_5_5_to_6_5,solve environmental problems,3,22,20,0.004992511233150275,0.0054917623564653024
mid_5_5_to_6_5,controversial perspectives heating,3,22,22,0.0054917623564653024,0.0054917623564653024
mid_5_5_to_6_5,increase production consumer,3,21,12,0.0029955067398901645,0.005242136794807789
mid_5_5_to_6_5,job high school,3,21,17,0.004243634548177734,0.005242136794807789
mid_5_5_to_6_5,plays crucial role,3,21,21,0.005242136794807789,0.005242136794807789
mid_5_5_to_6_5,environmental pollution housing,3,20,15,0.0037443834248627058,0.004992511233150275
mid_5_5_to_6_5,problem solving skills,3,20,17,0.004243634548177734,0.004992511233150275
mid_5_5_to_6_5,advantages outweigh disadvantages,3,19,19,0.004742885671492761,0.004742885671492761
mid_5_5_to_6_5,plays significant role,3,19,19,0.004742885671492761,0.004742885671492761
mid_5_5_to_6_5,physical mental health,3,19,18,0.0044932601098352475,0.004742885671492761
mid_5_5_to_6_5,pursue higher education,3,19,18,0.0044932601098352475,0.004742885671492761
mid_5_5_to_6_5,university college best,3,18,17,0.004243634548177734,0.0044932601098352475
mid_5_5_to_6_5,positive negative effects,3,18,17,0.004243634548177734,0.0044932601098352475
mid_5_5_to_6_5,increasing day day,3,18,18,0.0044932601098352475,0.0044932601098352475
